cid,mouse_vo,smiles
3282,700.0,CCOc1ccccc1C(N)=O
3284,490.0,C#CC1(OC(N)=O)CCCCC1
3286,40.0,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
3290,300.0,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
3291,1530.0,CCC1(C)CC(=O)NC1=O
3292,1750.0,CCN1C(=O)NC(c2ccccc2)C1=O
3293,1584.0,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
3299,5506.0,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O
3300,15000.0,CCOC(=O)c1ccc(NC(=O)CN2CCCCC2)cc1
3301,1000.0,NCCN
3305,1800.0,CC(O)(P(=O)(O)O)P(=O)(O)O
3306,770.0,CCNCC(O)c1cccc(O)c1
3307,3070.0,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
3308,593.0,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
3309,168.0,CCN1C(=O)c2ccccc2C1Nc1ccc(OCCN2CCCCC2)cc1
3314,3000.0,C=CCc1ccc(O)c(OC)c1
3316,13210.0,CCCCCCOc1ccccc1C(N)=O
3326,2000.0,CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O
3331,5000.0,NC(=O)OCC(COC(N)=O)c1ccccc1
3332,675.0,O=C(O)Cc1ccc(-c2ccccc2)cc1
3333,250.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
3334,10000.0,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1
3335,795.0,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
3337,145.0,CCNC(C)Cc1cccc(C(F)(F)F)c1
3338,2900.0,CCCCC(O)c1ccccc1
3339,1600.0,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
3342,1400.0,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
3344,250.0,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
3345,368.0,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
3346,88.10000000000001,COP(=S)(OC)Oc1ccc(SC)c(C)c1
3347,185.0,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
3357,4000.0,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
3360,1960.0,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12
3362,2780.0,CCC(=O)c1c(O)cc(O)cc1O
3365,1408.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
3369,830.0,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
3371,490.0,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
3372,220.0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
3373,1300.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
3380,1200.0,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
3385,115.0,O=c1[nH]cc(F)c(=O)[nH]1
3386,464.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
3389,41.3,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
3393,500.0,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
3394,640.0,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
3395,69.0,CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1
3398,1910.0,O=C1CN2CCOC2(c2ccccc2F)c2cc(Cl)ccc2N1CCO
3400,2430.0,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1
3401,1000.0,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1
3406,640.0,Cc1cn[nH]c1
3418,1455.0,O=C(O)c1ccccc1OP(=O)(O)O
3435,1782.0,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
3440,2000.0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
3442,180.0,CCCCc1ccc(C(=O)O)nc1
3444,1151.0,Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1
