cid,rat_vi,smiles
5736,36.8,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
5746,3.0,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
5748,13.2,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.[Br-]
5750,30.0,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl
5755,120.0,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
5761,16.0,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
5763,17.3,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.Cl
5770,15.0,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
5773,1065.0,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12
5776,52.0,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC.Cl.Cl
5777,34.0,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
5780,7100.0,OCC(O)C(O)C(O)C(O)CO
5781,300.0,O=C1NC(=O)C(=O)C(=O)N1
5795,38.0,CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl
5799,1.11,C1CN1c1nc(N2CC2)nc(N2CC2)n1
5807,24.04,CC(C)NCC(O)c1ccc(O)c(O)c1.Cl
5814,1.4,NCC(O)c1ccc(O)c(O)c1
5815,0.082,CNCC(O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O
5816,0.15,CNCC(O)c1ccc(O)c(O)c1
5822,240.0,Cl.NC(N)=NC(=O)Nc1ccc([N+](=O)[O-])cc1
5825,30.0,CC(N)Cc1ccccc1.CC(N)Cc1ccccc1.O=S(=O)(O)O
5831,0.1,C[N+](C)(C)CCOC(N)=O.[Cl-]
5849,50.76,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1.O=C([O-])C(O)C(O)C(=O)O.O=C([O-])C(O)C(O)C(=O)O
5852,2000.0,CC(C)(S)C(N)C(=O)O
5862,1140.0,NC(CS)C(=O)O
5883,4.8,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21.[Br-]
5887,29.0,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl
5910,88.5,CCC1C(=O)OCC1Cc1cncn1C
5917,45.0,C1CCc2nnnn2CC1
5921,280.0,CCN(CC)N=O
5924,0.07,CNCC(O)c1ccc(O)c(O)c1.Cl
5929,44.0,CC(Cc1ccccc1)NN
5935,1.1,CN(CCCl)CCCl.Cl
5938,64.13,C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-]
